City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
coahuayana,18.7333,-103.6833,87.04,45.0,30.0,4.94,MX,1678900837.0
saskylakh,71.9167,114.0833,16.32,92.0,100.0,8.28,RU,1678900838.0
ancud,-41.8697,-73.8203,57.06,52.0,12.0,4.5,CL,1678900734.0
dubbo,-32.25,148.6167,59.13,88.0,6.0,3.44,AU,1678900839.0
marrakesh,31.6315,-8.0083,89.67,17.0,0.0,6.91,MA,1678900589.0
carnarvon,-24.8667,113.6333,77.65,72.0,1.0,16.17,AU,1678900829.0
narsaq,60.9167,-46.05,34.02,58.0,23.0,1.77,GL,1678900840.0
upernavik,72.7868,-56.1549,4.1,83.0,100.0,4.52,GL,1678900690.0
ambilobe,-13.2,49.05,74.48,92.0,98.0,1.03,MG,1678900841.0
jamestown,42.097,-79.2353,35.24,44.0,0.0,6.91,US,1678900711.0
bredasdorp,-34.5322,20.0403,67.42,87.0,100.0,22.73,ZA,1678900842.0
shurugwi,-19.6702,30.0059,59.68,83.0,71.0,5.1,ZW,1678900842.0
berlevag,70.8578,29.0864,28.4,80.0,100.0,23.02,NO,1678900843.0
hobart,-42.8794,147.3294,65.26,60.0,100.0,21.85,AU,1678900616.0
puerto ayora,-0.7393,-90.3518,85.96,83.0,64.0,5.01,EC,1678900844.0
roblin,51.23,-101.3565,16.2,91.0,97.0,9.48,CA,1678900844.0
port elizabeth,-33.918,25.5701,70.09,89.0,40.0,13.8,ZA,1678900845.0
sorong,-0.8833,131.25,78.37,84.0,99.0,3.71,ID,1678900845.0
kavaratti,10.5669,72.642,82.45,69.0,1.0,5.26,IN,1678900846.0
ushuaia,-54.8,-68.3,51.42,53.0,75.0,10.36,AR,1678900847.0
bambous virieux,-20.3428,57.7575,79.21,73.0,75.0,12.66,MU,1678900848.0
luderitz,-26.6481,15.1594,64.24,86.0,5.0,10.89,NA,1678900849.0
lakatoro,-16.0999,167.4164,78.3,87.0,100.0,4.38,VU,1678900849.0
gouyave,12.1646,-61.7296,83.17,65.0,20.0,23.02,GD,1678900850.0
lavrentiya,65.5833,-171.0,-14.31,85.0,10.0,3.69,RU,1678900850.0
coruripe,-10.1256,-36.1756,83.97,63.0,88.0,11.45,BR,1678900624.0
ampanihy,-24.7,44.75,70.12,88.0,100.0,5.53,MG,1678900851.0
saint george,37.1041,-113.5841,52.43,87.0,100.0,4.61,US,1678900852.0
bluff,-46.6,168.3333,52.23,87.0,100.0,9.93,NZ,1678900852.0
vaini,-21.2,-175.2,77.16,88.0,40.0,10.36,TO,1678900853.0
punta arenas,-53.15,-70.9167,57.31,30.0,75.0,23.02,CL,1678900812.0
rikitea,-23.1203,-134.9692,77.47,68.0,2.0,4.59,PF,1678900854.0
north platte,41.1239,-100.7654,56.12,53.0,0.0,8.05,US,1678900854.0
qaanaaq,77.484,-69.3632,7.56,95.0,100.0,3.98,GL,1678900855.0
butaritari,3.0707,172.7902,81.14,74.0,43.0,15.7,KI,1678900856.0
dalbandin,28.8947,64.4101,74.97,28.0,65.0,6.49,PK,1678900856.0
albany,42.6001,-73.9662,35.17,71.0,91.0,18.99,US,1678900457.0
chokurdakh,70.6333,147.9167,4.91,96.0,100.0,9.78,RU,1678900857.0
marsaxlokk,35.8419,14.5431,59.07,72.0,20.0,23.02,MT,1678900858.0
nanortalik,60.1432,-45.2371,27.99,69.0,24.0,3.6,GL,1678900858.0
medowie,-32.7333,151.8667,68.7,98.0,100.0,5.75,AU,1678900859.0
hermanus,-34.4187,19.2345,69.8,86.0,100.0,24.52,ZA,1678900859.0
meulaboh,4.1363,96.1285,77.23,87.0,79.0,2.17,ID,1678900860.0
tias,28.9611,-13.645,65.88,77.0,0.0,10.36,ES,1678900579.0
dikson,73.5069,80.5464,0.77,98.0,54.0,10.87,RU,1678900861.0
ribeira grande,38.5167,-28.7,59.4,77.0,40.0,26.46,PT,1678900861.0
inhambane,-23.865,35.3833,75.07,85.0,81.0,6.62,MZ,1678900867.0
thompson,55.7435,-97.8558,3.36,72.0,100.0,11.5,CA,1678900579.0
lompoc,34.6391,-120.4579,53.62,92.0,75.0,11.5,US,1678900868.0
praia,14.9215,-23.5087,79.34,65.0,40.0,9.22,CV,1678900786.0
barrow,71.2906,-156.7887,-29.18,75.0,0.0,10.36,US,1678900869.0
kapaa,22.0752,-159.319,75.52,90.0,75.0,14.97,US,1678900870.0
talnakh,69.4865,88.3972,20.21,78.0,100.0,15.73,RU,1678900871.0
coquimbo,-29.9533,-71.3436,69.53,73.0,75.0,9.22,CL,1678900716.0
yar-sale,66.8333,70.8333,25.21,92.0,100.0,16.46,RU,1678900873.0
hithadhoo,-0.6,73.0833,82.67,74.0,30.0,6.31,MV,1678900873.0
atuona,-9.8,-139.0333,80.02,78.0,24.0,8.43,PF,1678900874.0
airai,-8.9266,125.4092,59.9,95.0,81.0,0.34,TL,1678900875.0
dakar,14.6937,-17.4441,77.88,69.0,75.0,4.61,SN,1678900876.0
georgetown,5.4112,100.3354,81.95,88.0,20.0,3.44,MY,1678900866.0
mar del plata,-38.0023,-57.5575,72.95,95.0,75.0,8.05,AR,1678900877.0
tasiilaq,65.6145,-37.6368,17.76,73.0,100.0,2.64,GL,1678900877.0
cabedelo,-6.9811,-34.8339,84.87,69.0,100.0,12.95,BR,1678900878.0
bilibino,68.0546,166.4372,-3.21,99.0,95.0,2.57,RU,1678900878.0
palauig,15.435,119.9045,76.59,75.0,56.0,5.26,PH,1678900879.0
lumberton,34.6182,-79.0086,52.32,34.0,0.0,11.5,US,1678900580.0
chuy,-33.6971,-53.4616,85.82,62.0,70.0,10.58,UY,1678900881.0
heihe,50.2441,127.4902,19.98,88.0,67.0,11.25,CN,1678900881.0
lebu,-37.6167,-73.65,65.44,68.0,97.0,10.27,CL,1678900686.0
souillac,-20.5167,57.5167,79.18,73.0,75.0,12.66,MU,1678900882.0
tura,25.5198,90.2201,65.3,71.0,0.0,7.49,IN,1678900883.0
eureka,40.8021,-124.1637,45.25,91.0,3.0,5.01,US,1678900883.0
ponta do sol,32.6667,-17.1,69.71,75.0,59.0,3.62,PT,1678900884.0
